,,,Totals,,,,,,,,Shooting,,,,Per Game,,,,
Season,Player,School,G,GS,PTS,TRB,AST,STL,BLK,WS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK
2025-26,Brett Decker,Liberty,34,34,575,87,37,14,6,4,0.499,0.542,0.471,0.848,16.9,2.6,1.1,0.4,0.2
2025-26,Mostapha El Moutaouakkil,Jacksonville State,32,30,625,231,42,26,12,3.3,0.453,0.487,0.346,0.657,19.5,7.2,1.3,0.8,0.4
2025-26,RJ Johnson,Kennesaw State,34,22,493,104,135,42,13,3.6,0.453,0.469,0.423,0.634,14.5,3.1,4,1.2,0.4
2025-26,Teagan Moore,Western Kentucky,27,25,506,150,53,28,9,4.3,0.529,0.56,0.429,0.8,18.7,5.6,2,1,0.3
2025-26,Zach Cleveland,Liberty,33,33,392,250,225,42,42,4.4,0.607,0.616,0,0.531,11.9,7.6,6.8,1.3,1.3
2025-26,Christian Bliss,Delaware,31,31,518,161,184,55,3,3.7,0.424,0.452,0.392,0.848,16.7,5.2,5.9,1.8,0.1
2025-26,Corey Stephenson,Florida International,31,31,559,198,50,42,15,3.7,0.457,0.502,0.398,0.742,18,6.4,1.6,1.4,0.5
2025-26,Jemel Jones,New Mexico State,32,30,570,140,78,41,15,4.2,0.427,0.452,0.372,0.835,17.8,4.4,2.4,1.3,0.5
2025-26,Keith Palek,Missouri State,34,34,587,217,121,33,11,3.2,0.417,0.502,0.255,0.709,17.3,6.4,3.6,1,0.3
2025-26,Po'Boigh King,Sam Houston,31,31,426,59,47,20,5,3,0.418,0.477,0.37,0.848,13.7,1.9,1.5,0.6,0.2
2025-26,DJ Dudley,Louisiana Tech,34,27,468,96,67,28,7,2.5,0.431,0.479,0.362,0.685,13.8,2.8,2,0.8,0.2
2025-26,Kaden Metheny,Liberty,33,32,432,99,102,24,0,3.1,0.454,0.621,0.396,0.75,13.1,3,3.1,0.7,0
2025-26,Kashie Natt,Sam Houston,34,34,368,278,81,69,17,4.4,0.43,0.45,0.383,0.78,10.8,8.2,2.4,2,0.5
2025-26,Michael Osei-Bonsu,Missouri State,31,31,473,227,72,38,26,3.3,0.59,0.59,,0.532,15.3,7.3,2.3,1.2,0.8
2025-26,Torey Alston,Middle Tennessee,32,32,420,253,46,16,36,3.5,0.555,0.588,0.111,0.636,13.1,7.9,1.4,0.5,1.1
2024-25,Adrian Wooley,Kennesaw State,33,32,619,173,118,47,3,4.9,0.512,0.579,0.422,0.769,18.8,5.2,3.6,1.4,0.1
2024-25,Daniel Batcho,Louisiana Tech,32,32,533,206,17,9,64,5.2,0.689,0.695,0.25,0.761,16.7,6.4,0.5,0.3,2
2024-25,Essam Mostafa,Middle Tennessee,33,33,479,303,40,39,30,5.3,0.606,0.611,0.455,0.625,14.5,9.2,1.2,1.2,0.9
2024-25,Jaron Pierre,Jacksonville State,36,36,777,199,136,24,13,5.1,0.424,0.455,0.382,0.81,21.6,5.5,3.8,0.7,0.4
2024-25,Lamar Wilkerson,Sam Houston,32,32,655,129,66,36,8,4.5,0.477,0.511,0.445,0.822,20.5,4,2.1,1.1,0.3
2024-25,Don McHenry,Western Kentucky,32,28,543,106,55,46,2,2.8,0.395,0.466,0.311,0.823,17,3.3,1.7,1.4,0.1
2024-25,Jestin Porter,Middle Tennessee,34,34,510,97,42,38,6,3.1,0.411,0.467,0.364,0.822,15,2.9,1.2,1.1,0.2
2024-25,Kaden Metheny,Liberty,34,34,453,100,68,28,0,3.6,0.42,0.515,0.383,0.782,13.3,2.9,2,0.8,0
2024-25,Otis Frazier,UTEP,33,32,436,176,79,75,22,3.7,0.447,0.561,0.3,0.73,13.2,5.3,2.4,2.3,0.7
2024-25,Simeon Cottle,Kennesaw State,33,33,594,80,100,26,8,3.6,0.384,0.484,0.319,0.876,18,2.4,3,0.8,0.2
2024-25,Christian Cook,New Mexico State,32,31,408,79,42,22,8,2.8,0.384,0.4,0.367,0.759,12.8,2.5,1.3,0.7,0.3
2024-25,Peter Filipovity,New Mexico State,29,21,379,239,37,26,0,2.9,0.452,0.511,0.234,0.667,13.1,8.2,1.3,0.9,0
2024-25,Sean Newman,Louisiana Tech,31,30,308,70,245,26,9,3,0.386,0.455,0.307,0.838,9.9,2.3,7.9,0.8,0.3
2024-25,Taelon Peter,Liberty,35,2,479,141,36,32,4,5.3,0.578,0.756,0.453,0.773,13.7,4,1,0.9,0.1
2024-25,Zach Cleveland,Liberty,32,32,351,200,164,22,33,3.8,0.487,0.506,0.188,0.542,11,6.3,5.1,0.7,1
2023-24,Daniel Batcho,Louisiana Tech,28,28,425,275,12,14,67,4.7,0.59,0.594,0,0.669,15.2,9.8,0.4,0.5,2.4
2023-24,Don McHenry,Western Kentucky,34,34,514,116,81,32,2,3.3,0.461,0.505,0.362,0.859,15.1,3.4,2.4,0.9,0.1
2023-24,Isaiah Crawford,Louisiana Tech,32,32,523,198,76,68,55,5.5,0.485,0.511,0.414,0.728,16.3,6.2,2.4,2.1,1.7
2023-24,Kyky Tandy,Jacksonville State,32,32,571,82,44,36,4,3.8,0.419,0.445,0.389,0.884,17.8,2.6,1.4,1.1,0.1
2023-24,Lamar Wilkerson,Sam Houston,31,31,428,113,42,30,5,3.3,0.428,0.488,0.347,0.831,13.8,3.6,1.4,1,0.2
2023-24,Davon Barnes,Sam Houston,33,33,444,116,54,22,7,3.1,0.421,0.443,0.391,0.837,13.5,3.5,1.6,0.7,0.2
2023-24,Jestin Porter,Middle Tennessee,33,33,458,110,60,32,6,2,0.399,0.448,0.337,0.775,13.9,3.3,1.8,1,0.2
2023-24,Kyle Rode,Liberty,32,32,454,157,79,24,4,4,0.401,0.426,0.388,0.759,14.2,4.9,2.5,0.8,0.1
2023-24,Tae Hardy,UTEP,34,34,510,99,85,58,7,3.6,0.414,0.443,0.374,0.71,15,2.9,2.5,1.7,0.2
2023-24,Zach Cleveland,Liberty,32,32,379,200,129,29,38,3.9,0.593,0.608,0.125,0.542,11.8,6.3,4,0.9,1.2
2023-24,Arturo Dean,Florida International,31,30,415,159,124,104,5,1.5,0.418,0.451,0.303,0.644,13.4,5.1,4,3.4,0.2
2023-24,Femi Odukale,New Mexico State,26,16,277,167,77,29,25,1.6,0.432,0.459,0.31,0.496,10.7,6.4,3,1.1,1
2023-24,Jared Coleman-Jones,Middle Tennessee,33,33,364,251,75,20,35,2.1,0.452,0.454,0.442,0.771,11,7.6,2.3,0.6,1.1
2023-24,Kaden Metheny,Liberty,32,32,430,108,87,24,2,3.5,0.452,0.52,0.412,0.684,13.4,3.4,2.7,0.8,0.1
