term,coefficient,model,lambda_rule,odds_ratio,selected,in_final_five
ws,0.2222146731427961,ridge,lambda.1se,1.2488394413779638,TRUE,TRUE
avg_PIE,-0.21898924655103041,ridge,lambda.1se,0.8033303566791757,TRUE,TRUE
ws_40,0.21513931331735772,ridge,lambda.1se,1.2400346382722964,TRUE,FALSE
PER,0.20898955427909086,ridge,lambda.1se,1.232432124821002,TRUE,TRUE
FGM,0.19446019125147143,ridge,lambda.1se,1.2146551280220361,TRUE,FALSE
p_prod,0.19257344026169113,ridge,lambda.1se,1.2123655368803878,TRUE,FALSE
BLK,0.188582306744805,ridge,lambda.1se,1.2075364672924158,TRUE,FALSE
DRB,0.17915709810715688,ridge,lambda.1se,1.196208651522471,TRUE,FALSE
TOV,0.17753573957496985,ridge,lambda.1se,1.1942707398683792,TRUE,FALSE
usg_percent,0.17326546559371342,ridge,lambda.1se,1.1891817500250463,TRUE,FALSE
STL,0.17296269029520972,ridge,lambda.1se,1.1888217496680653,TRUE,FALSE
PTS,0.17074908385967064,ridge,lambda.1se,1.186193076689389,TRUE,FALSE
MP,0.15920355934392846,ridge,lambda.1se,1.1725766113143905,TRUE,FALSE
AST,0.15496907911744717,ridge,lambda.1se,1.1676218566486416,TRUE,FALSE
FGA,0.15410575196828677,ridge,lambda.1se,1.1666142520086478,TRUE,FALSE
GP,-0.13668047321392296,ridge,lambda.1se,0.8722488884936938,TRUE,FALSE
ts_percent,0.1302858380054519,ridge,lambda.1se,1.1391539502857522,TRUE,TRUE
TPM,0.12925701443752638,ridge,lambda.1se,1.1379825645321617,TRUE,FALSE
dbpm,-0.12466086395771625,ridge,lambda.1se,0.8827962398466238,TRUE,FALSE
PF,-0.11523833510533946,ridge,lambda.1se,0.8911537253774291,TRUE,FALSE
FTA,0.10370063315150928,ridge,lambda.1se,1.1092683270408286,TRUE,FALSE
ORB,-0.0944701513711554,ridge,lambda.1se,0.9098548921416987,TRUE,FALSE
TRB,0.07866495331146396,ridge,lambda.1se,1.08184179383122,TRUE,FALSE
TPA,0.07710528004706518,ridge,lambda.1se,1.0801557892589781,TRUE,FALSE
obpm,0.06561442857367365,ridge,lambda.1se,1.0678149188609474,TRUE,FALSE
f_tr,0.059864565686036826,ridge,lambda.1se,1.0616927471790414,TRUE,FALSE
FTM,0.03406180523686378,ridge,lambda.1se,1.0346485514508315,TRUE,FALSE
x3p_ar,-0.01927274131414433,ridge,lambda.1se,0.9809117905847181,TRUE,FALSE
bpm,-0.012954859345598105,ridge,lambda.1se,0.9871286936497874,TRUE,TRUE
ws_40,1.1346955529229334,lasso,lambda.1se,3.1102264993833737,TRUE,FALSE
MP,0.7504598254595639,lasso,lambda.1se,2.1179736909611817,TRUE,FALSE
avg_PIE,-0.7375466953757132,lasso,lambda.1se,0.47828585827478437,TRUE,TRUE
dbpm,-0.5907844065775508,lasso,lambda.1se,0.5538926372587012,TRUE,FALSE
BLK,0.41850652999329657,lasso,lambda.1se,1.5196902481709065,TRUE,FALSE
DRB,0.4184278283435132,lasso,lambda.1se,1.5195706507475348,TRUE,FALSE
usg_percent,0.41191705705128645,lasso,lambda.1se,1.5097092114018607,TRUE,FALSE
STL,0.3937314276733463,lasso,lambda.1se,1.4825023361010319,TRUE,FALSE
TOV,0.35351143216919745,lasso,lambda.1se,1.424059266944797,TRUE,FALSE
PER,0.33806778009683985,lasso,lambda.1se,1.4022355438453131,TRUE,TRUE
ORB,-0.32044854793473093,lasso,lambda.1se,0.7258233974607523,TRUE,FALSE
FGM,0.2701206461247738,lasso,lambda.1se,1.3101225024017888,TRUE,FALSE
GP,-0.25321083242448256,lasso,lambda.1se,0.7763041944735869,TRUE,FALSE
PF,-0.20908501788104195,lasso,lambda.1se,0.811326255472105,TRUE,FALSE
TPM,0.13824588062286147,lasso,lambda.1se,1.1482578499220941,TRUE,FALSE
AST,0.06220432003304363,lasso,lambda.1se,1.064179755759424,TRUE,FALSE
f_tr,0.059875065211410866,lasso,lambda.1se,1.0617038945075004,TRUE,FALSE
PTS,0,lasso,lambda.1se,1,FALSE,FALSE
FGA,0,lasso,lambda.1se,1,FALSE,FALSE
FTM,0,lasso,lambda.1se,1,FALSE,FALSE
FTA,0,lasso,lambda.1se,1,FALSE,FALSE
TPA,0,lasso,lambda.1se,1,FALSE,FALSE
TRB,0,lasso,lambda.1se,1,FALSE,FALSE
ws,0,lasso,lambda.1se,1,FALSE,TRUE
bpm,0,lasso,lambda.1se,1,FALSE,TRUE
obpm,0,lasso,lambda.1se,1,FALSE,FALSE
ts_percent,0,lasso,lambda.1se,1,FALSE,TRUE
p_prod,0,lasso,lambda.1se,1,FALSE,FALSE
x3p_ar,0,lasso,lambda.1se,1,FALSE,FALSE
ws_40,1.6811160903436126,lasso,lambda.min,5.371547759395997,TRUE,FALSE
MP,1.1391375301150748,lasso,lambda.min,3.124072784229838,TRUE,FALSE
avg_PIE,-1.0148523806232128,lasso,lambda.min,0.3624559314021654,TRUE,TRUE
dbpm,-0.9524258964347485,lasso,lambda.min,0.38580396684522184,TRUE,FALSE
FTM,-0.8050321175557105,lasso,lambda.min,0.4470735674185592,TRUE,FALSE
usg_percent,0.6811671839129366,lasso,lambda.min,1.9761829556137311,TRUE,FALSE
f_tr,0.6764368268605067,lasso,lambda.min,1.966856979620952,TRUE,FALSE
ORB,-0.6234871365287141,lasso,lambda.min,0.5360718188321706,TRUE,FALSE
DRB,0.5591868404807145,lasso,lambda.min,1.7492495029276727,TRUE,FALSE
STL,0.5591088532683558,lasso,lambda.min,1.7491130891545534,TRUE,FALSE
BLK,0.5381430266902664,lasso,lambda.min,1.7128232401079275,TRUE,FALSE
TOV,0.4396375736567765,lasso,lambda.min,1.5521445784759782,TRUE,FALSE
FGA,0.4279069589743547,lasso,lambda.min,1.5340433453613123,TRUE,FALSE
PER,0.4073274761131707,lasso,lambda.min,1.5027961549340674,TRUE,TRUE
GP,-0.3354544361790142,lasso,lambda.min,0.7150130846977427,TRUE,FALSE
PF,-0.2647987472908114,lasso,lambda.min,0.7673603677897745,TRUE,FALSE
