term,n,n_positive,missing_rate,odds_ratio,conf.low,conf.high,p.value,note,in_final_five,final_five_note
p_prod,2767,190,0.04355340477013481,7.299199530671342,6.5700034594609,8.139376595217316,7.231063396476455e-290,NA,FALSE,NA
PTS,2893,208,0,6.127511214933551,5.577313829675907,6.75183290457612,9.620916006262839e-303,NA,FALSE,NA
FGM,2893,208,0,5.708105603888959,5.214572432969779,6.265325660087566,6.244431242765988e-303,NA,FALSE,NA
ws,2767,190,0.04355340477013481,4.813089423270576,4.407997915451949,5.26842526761921,1.4153389995391475e-261,NA,TRUE,in final RF/logistic
FGA,2893,208,0,4.33888596452464,4.007206414077295,4.707893526797541,3.174718130757373e-279,NA,FALSE,NA
PER,2893,208,0,4.054628323524672,3.7395435725423023,4.405655135304132,9.48998849050354e-246,NA,TRUE,in final RF/logistic
MP,2893,208,0,3.9876486245339104,3.679144499602832,4.33063106909826,1.2161052786876359e-242,NA,FALSE,NA
obpm,2767,190,0.04355340477013481,3.883126260413396,3.5666404737692656,4.236570248137636,1.0984707895621738e-209,NA,FALSE,NA
usg_percent,2767,190,0.04355340477013481,3.679020061286334,3.399550487061835,3.989456795358522,1.3442986971163124e-223,NA,FALSE,NA
FTM,2893,208,0,3.3782313501520425,3.1456486487936237,3.6344126939899835,1.8204428142107223e-239,NA,FALSE,NA
FTA,2893,208,0,3.251470917279892,3.0345044092571536,3.4895383550774053,4.914202573405033e-240,NA,FALSE,NA
ws_40,2767,190,0.04355340477013481,3.113484889361263,2.8844831816941334,3.366567874866596,1.548628782700998e-182,NA,FALSE,NA
avg_PIE,2893,208,0,2.566457694918165,2.364694845289129,2.789928966209408,1.33800884025613e-110,NA,TRUE,in final RF/logistic
TOV,2893,208,0,2.5103333312782423,2.363247978780797,2.6698975104703253,2.956480481414444e-192,NA,FALSE,NA
bpm,2767,190,0.04355340477013481,2.4370082567928146,2.268481452077769,2.6214340927459507,7.272450703793895e-129,NA,TRUE,used as net_rating in RF/logistic
net_rating,2767,190,0.04355340477013481,2.4370082567928146,2.268481452077769,2.6214340927459507,7.272450703793895e-129,NA,TRUE,in final RF/logistic
DRB,2893,208,0,2.249379494539219,2.1196952915508684,2.3899570709308002,1.358164304100306e-154,NA,FALSE,NA
STL,2893,208,0,1.9720688690201098,1.860735484068926,2.092499622045901,6.806866709751634e-114,NA,FALSE,NA
TRB,2893,208,0,1.8797098908302181,1.7785068873122647,1.9885084371558208,6.716097492062834e-109,NA,FALSE,NA
TS_pct,2893,208,0,1.8756128937648517,1.7621258603817906,1.998398291364914,1.6230238208475476e-85,NA,FALSE,NA
ts_percent,2893,208,0,1.871358125808759,1.75829773536902,1.993662265650014,3.559672585429273e-85,NA,TRUE,in final RF/logistic
AST,2893,208,0,1.7953912590044083,1.6994753638576818,1.898948946164133,5.84528429449514e-95,NA,FALSE,NA
TPM,2893,208,0,1.5796486124442586,1.5014216561997402,1.6629405465700104,6.746630998050381e-69,NA,FALSE,NA
TPA,2893,208,0,1.5643672778008062,1.4865303673992174,1.6472017232032627,1.6676458795468174e-65,NA,FALSE,NA
f_tr,2768,190,0.04320774282751472,1.3315054172051455,1.258024214967139,1.4099497345250875,7.15251862346374e-23,NA,FALSE,NA
BLK,2893,208,0,1.2715642339908304,1.2122513210863177,1.3352620641877384,1.8782933923674536e-22,NA,FALSE,NA
ORB,2893,208,0,1.2641265347829418,1.2011127358577818,1.3309071374778567,3.3888635567204167e-19,NA,FALSE,NA
GP,2893,208,0,1.206034615705697,1.14226242206239,1.2738750957950826,1.632467601073389e-11,NA,FALSE,NA
PF,2893,208,0,1.1570650787988288,1.0962004238802854,1.2215366498140996,1.2695042203241172e-7,NA,FALSE,NA
dbpm,2767,190,0.04355340477013481,0.9642369090599019,0.9110684648219761,1.0204519282594573,0.20791870469531573,NA,FALSE,NA
x3p_ar,2768,190,0.04320774282751472,0.8983398462494494,0.8476123090781752,0.9519894284401063,2.954932486289365e-4,NA,FALSE,NA
