athlete_display_name,team_display_name,season,join_name,all_conference,team_tier,match_type,GP,MP,avg_PIE,PER,net_rating,ts_percent,ws
Vladislav Goldin,Florida Atlantic Owls,2024,vladislav goldin,0,NA,NA,34,851,0.1983998194008876,30.67103051653863,8.4,0.679,5.1
Yaxel Lendeborg,UAB Blazers,2025,yaxel lendeborg,0,NA,NA,37,1243,0.26638601190256556,30.538960684650615,NA,0.6001321391866099,NA
Charles Bassey,Western Kentucky Hilltoppers,2021,charles bassey,1,1,exact,29,851,0.25824761080538694,30.156752588379305,9.1,0.643,5.4
Chris Cokley,UAB Blazers,2018,chris cokley,1,1,exact,33,870,0.2122932068397356,29.604253213422883,NA,0.6274891173474113,NA
Osasumwen Osaghae,Florida International Panthers,2020,osasumwen osaghae,1,2,exact,32,872,0.2238920567371412,29.382222497998512,6.6,0.687,4.9
Gaige Prim,Missouri State Bears,2021,gaige prim,0,NA,NA,24,705,0.294665691777016,29.380621287359386,8.6,0.627,4.9
Daniel Batcho,Louisiana Tech Bulldogs,2025,daniel batcho,1,1,exact,32,883,0.17518307740129524,29.02436110436851,5.3,0.72,5.2
Ajdin Penava,Marshall Thundering Herd,2018,ajdin penava,1,3,exact,36,1001,0.22304366743602108,28.93755978760654,7.3,0.643,5.2
Chris Cokley,UAB Blazers,2016,chris cokley,1,2,exact,33,728,0.15463215598826113,28.77608501327704,NA,0.607668126192882,NA
Pascal Siakam,New Mexico State Aggies,2016,pascal siakam,0,NA,NA,34,1173,0.45644497613091345,28.688543337999448,8.2,0.569,7.8
Essam Mostafa,Middle Tennessee Blue Raiders,2025,essam mostafa,1,1,exact,34,899,0.17964039406366056,28.58350226387188,6.3,0.621,5.3
Kenneth Lofton Jr.,Louisiana Tech Bulldogs,2022,kenneth lofton,1,1,exact,34,890,0.23525342699833576,28.249072434849708,7,0.574,5.2
Teagan Moore,Western Kentucky Hilltoppers,2026,teagan moore,1,1,exact,32,790,0.17962114151342348,28.205359149968512,7,0.645,4.3
James Kelly Sr.,Marshall Thundering Herd,2016,james kelly,1,1,exact,33,1009,0.2382460878092927,28.133631999001185,4.2,0.615,4.3
Vladimir Brodziansky,TCU Horned Frogs,2017,vladimir brodziansky,0,NA,NA,39,934,0.2151447584638189,27.586765579372603,10.4,0.622,5.3
Michael Holyfield,Sam Houston Bearkats,2015,michael holyfield,0,NA,NA,35,628,0.1693100174346202,27.43982819322029,4.8,0.614,4.1
David Jones,Memphis Tigers,2024,david jones,0,NA,NA,32,1037,0.25419653820010185,27.286054445057093,8.8,0.592,5.2
Jae Crowder,Marquette Golden Eagles,2012,jae crowder,0,NA,NA,35,1153,0.3280054480284654,27.118878462258024,13.8,0.598,7.6
Blake Preston,Liberty Flames,2021,blake preston,0,NA,NA,29,517,0.14826747122493786,27.058870222873864,5.3,0.633,4
Obinna Anochili-Killen,Marshall Thundering Herd,2025,obinna anochilikillen,0,NA,NA,33,841,0.24201972713204156,26.977179842790036,6.2,0.613,4.4
PJ Haggerty,Tulsa Golden Hurricane,2024,pj haggerty,0,NA,NA,31,1042,0.26774892265287775,26.879555499728887,6.6,0.596,5.5
Taelon Peter,Liberty Flames,2025,taelon peter,1,3,exact,35,794,0.11992355406856688,26.86989519960511,9,0.724,5.3
Gary Clark,Cincinnati Bearcats,2018,gary clark,0,NA,NA,36,1026,0.2475725417657607,26.862578372177545,14.4,0.612,7.8
Scottie James,Liberty Flames,2018,scottie james,0,NA,NA,37,943,0.2798827349663231,26.844721477609212,5.4,0.667,6.2
Taevion Kinsey,Marshall Thundering Herd,2023,taevion kinsey,0,NA,NA,32,1209,0.3144967451083449,26.822604180511423,7.6,0.596,7
Matas Vokietaitis,Florida Atlantic Owls,2025,matas vokietaitis,0,NA,NA,34,597,0.10876996658588524,26.620963441228604,2.3,0.675,2.9
Darius McGhee,Liberty Flames,2023,darius mcghee,0,NA,NA,36,1148,0.2416844294270372,26.507038142596265,11,0.599,7.4
Markus Howard,Marquette Golden Eagles,2020,markus howard,0,NA,NA,30,963,0.2998670083406982,26.453127158724456,11,0.593,5.8
Arsalan Kazemi,Rice Owls,2011,arsalan kazemi,1,2,exact,31,930,0.27477244746068147,26.27851304669079,7.3,0.599,5.8
Brandon Huffman,Jacksonville State Gamecocks,2021,brandon huffman,0,NA,NA,27,483,0.16179850432106294,26.27790993724936,3.1,0.595,2.7
Adrian Diaz,Florida International Panthers,2016,adrian diaz,1,2,exact,31,925,0.19493709266408937,26.215120186698417,4.5,0.651,5
DeAndre Williams,Memphis Tigers,2023,deandre williams,0,NA,NA,35,1086,0.21359283425831535,26.177358881300393,9.4,0.593,5.9
Scottie James,Liberty Flames,2020,scottie james,0,NA,NA,34,730,0.193121945436544,26.069753631365675,5.2,0.62,5.8
Scottie James,Liberty Flames,2019,scottie james,0,NA,NA,36,882,0.22856413538994935,26.060778238222913,4.4,0.694,6
Joseph Uchebo,Charlotte 49ers,2016,joseph uchebo,1,2,exact,33,922,0.27769431019230145,26.038204067776594,3.5,0.584,4
Gaige Prim,Missouri State Bears,2022,gaige prim,0,NA,NA,34,1003,0.25740273158486443,26.023233023823167,6.3,0.623,5.8
Dedric Lawson,Memphis Tigers,2017,dedric lawson,0,NA,NA,32,1104,0.2638812253662864,25.969397845867555,8.6,0.542,5.4
Alex Hamilton,Louisiana Tech Bulldogs,2016,alex hamilton,1,1,exact,33,1167,0.26893299776685253,25.92371185543732,6.5,0.585,6.3
Daniel Batcho,Louisiana Tech Bulldogs,2024,daniel batcho,1,1,exact,32,831,0.20785925940672256,25.83345624964651,4.7,0.614,4.7
Darius McGhee,Liberty Flames,2022,darius mcghee,0,NA,NA,33,1111,0.3083631111391958,25.797561720556946,7.2,0.607,6.6
Paul Reed,DePaul Blue Demons,2020,paul reed,0,NA,NA,32,918,0.3452720088522935,25.78866197641186,9.2,0.561,4.5
Xavier Edmonds,TCU Horned Frogs,2026,xavier edmonds,0,NA,NA,35,802,0.17231899418075197,25.77572850503155,8.3,0.628,3.9
Tre Carroll,Florida Atlantic Owls,2025,tre carroll,0,NA,NA,34,752,0.14032714088952622,25.75533671000521,6.7,0.599,3.4
Josh Carlton,Houston Cougars,2022,josh carlton,0,NA,NA,38,825,0.13282698944722238,25.717706287651076,7.7,0.624,5.1
Shawn Jones,Middle Tennessee Blue Raiders,2014,shawn jones,1,1,exact,33,930,0.24088675239353932,25.680985526560143,6.5,0.604,5.6
TaShawn Thomas,Houston Cougars,2014,tashawn thomas,0,NA,NA,33,1044,0.26607003528744566,25.634029729483796,7.9,0.598,4.2
TaShawn Thomas,Houston Cougars,2013,tashawn thomas,1,2,exact,33,1070,0.22414641069031752,25.566385220307705,5.3,0.569,5.3
Vladimir Brodziansky,TCU Horned Frogs,2018,vladimir brodziansky,0,NA,NA,33,897,0.2069386214645826,25.50138159473575,8.5,0.658,4.6
Michael Osei-Bonsu,Missouri State Bears,2026,michael oseibonsu,1,3,exact,34,848,0.15379498053031318,25.464023735294205,2.6,0.583,3.3
Yaxel Lendeborg,UAB Blazers,2024,yaxel lendeborg,0,NA,NA,35,1053,0.2149363860427782,25.3153866512227,NA,0.6151097498723839,NA
Viktor Lakhin,Cincinnati Bearcats,2023,viktor lakhin,0,NA,NA,36,778,0.1618542121658247,25.2895318815086,7.4,0.616,4
Tyreek Smith,SMU Mustangs,2024,tyreek smith,0,NA,NA,33,633,0.13401825412815002,25.27316698324519,6.8,0.61,3.4
Arsalan Kazemi,Rice Owls,2012,arsalan kazemi,1,2,exact,35,970,0.2659428385937438,25.14878783867166,6.9,0.628,5.6
Jason Burnell,Jacksonville State Gamecocks,2019,jason burnell,0,NA,NA,33,1082,0.30802619991767904,25.06085219504237,6.6,0.595,6.4
Osasumwen Osaghae,Florida International Panthers,2019,osasumwen osaghae,0,NA,NA,34,699,0.1551527271297792,24.97001669019569,2.6,0.604,3
Chris Cokley,UAB Blazers,2017,chris cokley,0,NA,NA,33,716,0.13015239309492757,24.941493394962123,NA,0.6191183754333828,NA
Russ Smith,Louisville Cardinals,2014,russ smith,0,NA,NA,37,1083,0.1843177322278426,24.869761473259313,11.5,0.576,6.7
Isiaih Mosley,Missouri State Bears,2022,isiaih mosley,0,NA,NA,34,1074,0.262911974627739,24.83594995478065,6.4,0.617,5.7
Sananda Fru,Louisville Cardinals,2026,sananda fru,0,NA,NA,35,770,0.1528395096242646,24.818664082752314,8.9,0.74,3.9
Kai Mitchell,Sam Houston Bearkats,2020,kai mitchell,0,NA,NA,31,746,0.20553816448234788,24.79388965560646,2.3,0.605,3.7
Aurimas Majauskas,Sam Houston Bearkats,2016,aurimas majauskas,0,NA,NA,34,811,0.18953409641657593,24.745353839011543,2.6,0.64,4.4
Jon Elmore,Marshall Thundering Herd,2018,jon elmore,1,1,exact,36,1380,0.2420102359071664,24.706965000585345,5.3,0.593,6.2
Eli Chuha,New Mexico State Aggies,2019,eli chuha,0,NA,NA,35,623,0.1922608386667861,24.59288328816299,7.5,0.677,3.8
Eli Chuha,New Mexico State Aggies,2017,eli chuha,0,NA,NA,34,883,0.2270994320804679,24.55572804798283,3.5,0.634,5.1
Maurice Kemp,East Carolina Pirates,2013,maurice kemp,1,1,exact,31,1092,0.22175126192121952,24.54255376427699,5.7,0.577,6.4
Montrezl Harrell,Louisville Cardinals,2014,montrezl harrell,0,NA,NA,37,1084,0.19685100361262176,24.512769145448026,9,0.592,6.4
Gaige Prim,Missouri State Bears,2020,gaige prim,0,NA,NA,33,607,0.1970789980660518,24.50502451112605,5.7,0.543,3
Dimon Carrigan,Florida International Panthers,2021,dimon carrigan,0,NA,NA,26,465,0.1386602667742159,24.43210566475842,3,0.6,2
Jalen Duren,Memphis Tigers,2022,jalen duren,0,NA,NA,33,733,0.1446286981124215,24.41930006266839,7.1,0.608,3.5
Davante Gardner,Marquette Golden Eagles,2013,davante gardner,0,NA,NA,35,751,0.2165381830564939,24.38220986071565,10,0.669,4.7
Jeremiah Martin,Memphis Tigers,2019,jeremiah martin,0,NA,NA,36,1235,0.24520483238015228,24.34790795488051,10,0.577,6.2
Justin Johnson,Western Kentucky Hilltoppers,2016,justin johnson,0,NA,NA,34,984,0.19086549113936976,24.31028623938374,3.2,0.625,4.5
Jemel Jones,New Mexico State Aggies,2026,jemel jones,1,2,exact,32,910,0.16895400186920992,24.27593998325079,7.2,0.543,4.2
Wyatt Fricks,Marshall Thundering Herd,2026,wyatt fricks,0,NA,NA,32,932,0.20953867158775288,24.249484502170898,2.9,0.638,4
De'Torrion Ware,Jacksonville State Gamecocks,2020,detorrion ware,0,NA,NA,32,665,0.21885524005049475,24.249241255991645,6,0.572,3.7
Ray Spalding,Louisville Cardinals,2018,ray spalding,0,NA,NA,36,995,0.2420360103948898,24.22053944914442,8.2,0.568,4.8
Chance Westry,UAB Blazers,2026,chance westry,0,NA,NA,32,976,0.1801645794605158,24.19036462993889,NA,0.5736071196810976,NA
Max Fiedler,Rice Owls,2021,max fiedler,0,NA,NA,28,783,0.2182765025100214,24.160213980404624,5.4,0.682,3.9
Paul Reed,DePaul Blue Demons,2019,paul reed,0,NA,NA,36,965,0.2327667576146893,24.11644040179239,5.5,0.616,4.2
Javon Freeman-Liberty,DePaul Blue Demons,2022,javon freemanliberty,0,NA,NA,31,838,0.29753506091382725,23.999260950185956,8.2,0.536,4
Nick King,Middle Tennessee Blue Raiders,2018,nick king,1,1,exact,33,1086,0.25780763486972896,23.979934816315826,6.9,0.569,5.3
Max Fiedler,Rice Owls,2023,max fiedler,1,2,exact,35,1063,0.19971996495442676,23.960338978649983,6.1,0.721,5.1
Ryan Taylor,Marshall Thundering Herd,2016,ryan taylor,0,NA,NA,33,882,0.16241426193671987,23.92694630606942,3.8,0.61,3.4
Kenneth Lofton Jr.,Louisiana Tech Bulldogs,2021,kenneth lofton,1,3,exact,32,728,-0.03863200447945211,23.918641877496466,5.1,0.58,3.8
Tyler Kolek,Marquette Golden Eagles,2024,tyler kolek,0,NA,NA,37,1022,0.3005389372187938,23.900327216325117,10.1,0.6,5.1
Charles Bassey,Western Kentucky Hilltoppers,2019,charles bassey,1,1,exact,34,1067,0.2528101610190708,23.89747270547595,5.2,0.673,5
Davante Gardner,Marquette Golden Eagles,2014,davante gardner,0,NA,NA,32,850,-0.01642566508461274,23.884355971090255,7.8,0.602,4.7
Devon Andrews,Florida International Panthers,2019,devon andrews,0,NA,NA,34,866,0.15671487009953228,23.88227715922331,1.9,0.578,3.5
Dain Dainja,Memphis Tigers,2025,dain dainja,0,NA,NA,35,950,0.1795472581981173,23.859423053787012,5.4,0.615,3.9
Markus Howard,Marquette Golden Eagles,2019,markus howard,0,NA,NA,34,1139,0.2659125025862591,23.843195162249437,8.2,0.59,6.1
Vladislav Goldin,Florida Atlantic Owls,2023,vladislav goldin,1,3,exact,39,819,0.12153163475487384,23.83714431799044,4.9,0.624,4.5
Micah Handlogten,Marshall Thundering Herd,2023,micah handlogten,0,NA,NA,32,808,0.17214399109624193,23.81907041825021,4.5,0.649,4.2
Samir Sehic,Tulane Green Wave,2018,samir sehic,0,NA,NA,31,631,0.14303710706326467,23.81656687790988,3.9,0.648,3
Kam Jones,Marquette Golden Eagles,2025,kam jones,0,NA,NA,34,1148,0.2967881883309688,23.780181685215133,10.6,0.551,5.8
JaCorey Williams,Middle Tennessee Blue Raiders,2017,jacorey williams,1,1,exact,36,1069,0.22585157695300717,23.77834411626298,4.8,0.56,5.5
Luke Fischer,Marquette Golden Eagles,2017,luke fischer,0,NA,NA,32,767,0.15955434700162907,23.74831145526464,5.9,0.642,3.6
Papa Dia,SMU Mustangs,2011,papa dia,1,1,exact,34,1141,0.25694040650499517,23.735829877954583,3.7,0.627,6.2
Kendric Davis,Memphis Tigers,2023,kendric davis,0,NA,NA,35,1191,0.2296626137326259,23.70874266414604,7.7,0.551,5.8
Djahi Binet,Southern Miss Golden Eagles,2026,djahi binet,0,NA,NA,35,924,0.2361708020445623,23.647591920257877,2.1,0.658,4.3
Francis Okoro,Saint Louis Billikens,2022,francis okoro,0,NA,NA,35,837,0.20004373984332505,23.508373765412426,6.2,0.626,4.7
Markus Kennedy,SMU Mustangs,2014,markus kennedy,0,NA,NA,37,924,0.18882840848606589,23.505195826712747,8.9,0.55,4.7
Jayden Gardner,East Carolina Pirates,2020,jayden gardner,0,NA,NA,31,1064,0.2817907740060598,23.48357735073108,4.6,0.574,4.7
Boopie Miller,SMU Mustangs,2026,boopie miller,0,NA,NA,34,1161,0.25377235562578876,23.47175272042725,NA,0.6139220738658546,NA
Eric Carter,Delaware Blue Hens,2019,eric carter,0,NA,NA,33,1024,0.3111525939173859,23.46332365524464,1.9,0.62,4.8
Kashie Natt,Sam Houston Bearkats,2026,kashie natt,1,3,exact,34,898,0.16030925377429636,23.42343011911937,6.9,0.55,4.4
Chinanu Onuaku,Louisville Cardinals,2016,chinanu onuaku,0,NA,NA,31,762,0.21741282174543464,23.418566793503636,10.5,0.62,4.2
