rk,player,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,p_prod,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_40,obpm,dbpm,bpm,awards,team_slug,season
1,Keith Clanton,F,33,33,1006,25.8,0.596,0.181,0.568,452,10.1,19.2,14.9,12.6,2,6.1,16.2,24.5,3,2.2,5.1,0.205,4.2,2.8,7,NA,central-florida,2011
2,Marcus Jordan,G,31,28,980,18.5,0.543,0.381,0.604,462,1.7,8.3,5.2,23.8,1.7,0.2,17.1,27.9,2.3,1.2,3.5,0.145,2.2,-0.5,1.7,NA,central-florida,2011
3,Isaac Sosa,G,33,15,835,11.7,0.559,0.699,0.164,224,1.2,6.8,4.2,5.8,1.2,0.2,12.3,16.9,1.2,0.9,2.1,0.102,1.5,0.4,1.8,NA,central-florida,2011
4,A.J. Rompza,G,31,19,760,12.7,0.509,0.479,0.405,228,2.3,7.9,5.3,26.4,2.7,0.1,23.6,17.6,0.8,1.1,1.9,0.098,-0.6,1,0.4,NA,central-florida,2011
5,P.J. Gaynor,F,33,13,558,13,0.6,0.357,0.322,159,6.5,15,11,11.7,1.3,2.6,26.2,16.9,0.6,0.9,1.5,0.107,-1.3,1.6,0.3,NA,central-florida,2011
6,Isaiah Sykes,G,32,1,525,13.9,0.548,0,0.701,137,9.6,13.4,11.6,9.8,2.9,0.2,21.1,14.7,0.6,0.9,1.5,0.116,-0.5,2.2,1.7,NA,central-florida,2011
7,Tom Herzog,C,29,14,464,20.8,0.566,0,0.393,147,7.6,17.8,13,2.5,1.7,13,15.7,19.4,0.7,1.1,1.8,0.154,-0.5,5.1,4.6,NA,central-florida,2011
8,A.J. Tyler,F,26,1,448,16.1,0.489,0.481,0.214,137,8.7,10.7,9.8,5.2,1.1,5,4.6,17.7,0.9,0.7,1.6,0.142,2.2,1.2,3.4,NA,central-florida,2011
9,Dwight McCombs,F,32,19,386,16.2,0.645,0,0.75,96,9.8,16.5,13.3,2.7,1.3,6.6,20,12.9,0.7,0.7,1.4,0.145,-1.5,2.3,0.7,NA,central-florida,2011
10,Dave Diakite,G,25,18,262,12.8,0.489,0.317,0.73,82,7.2,16.6,12.2,6.3,3.3,1.2,19.8,21.2,0.1,0.5,0.6,0.099,-4.1,2,-2.1,NA,central-florida,2011
11,Taylor Young,G,24,2,180,2.9,0.331,0.85,0.2,35,0,5.6,3,18.8,1.4,0,15.4,15.1,-0.1,0.2,0.1,0.02,-6.6,-0.3,-6.9,NA,central-florida,2011
12,Jarvis Davis,G,16,0,93,8.6,0.475,0,0.765,30,9.5,13.2,11.4,29.8,2,0,42.3,22.7,-0.1,0.1,0,0.003,-3.4,-0.7,-4,NA,central-florida,2011
13,Jeff Jordan,G,2,2,58,21.5,0.583,0.333,0.476,30,6.5,5.8,6.1,28.3,1.1,0,18.9,28.7,0.2,0.1,0.2,0.169,3.1,-1.5,1.6,NA,central-florida,2011
14,Amara Thompson,G,11,0,24,22.4,0.621,0.167,1,10,5.2,13.9,9.9,20.1,0,0,10.2,21.5,0.1,0,0.1,0.195,-0.5,-0.1,-0.7,NA,central-florida,2011
15,Dogukan Kuzucan,G,12,0,21,6.3,0.471,0.25,1.25,5,0,21.3,11.3,0,2.9,4.9,32,23.4,-0.1,0,0,-0.017,-1.3,4.3,3,NA,central-florida,2011
NA,Team Totals,,33,33,6600,NA,0.55,0.344,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.8,21.6,0.131,0.6,1.4,2,NA,central-florida,2011
1,Marcus Jordan,G,31,31,1112,13.8,0.497,0.477,0.438,396,0.8,8.8,4.6,14.1,1.1,0.1,12.1,22.8,1.9,0.8,2.7,0.097,0.9,-0.8,0.1,NA,central-florida,2012
2,Keith Clanton,F,33,33,1085,23.2,0.528,0.304,0.398,468,10.3,19.9,14.8,13.4,2,6,14.8,25.6,2.4,1.9,4.3,0.158,4.3,1.7,6,NA,central-florida,2012
3,Isaiah Sykes,G,33,32,1012,19.8,0.559,0.072,0.521,406,10.5,15,12.6,15.1,2.2,1.5,20.5,23.6,1.8,1.4,3.1,0.124,2.4,0.4,2.8,NA,central-florida,2012
4,Tristan Spurlock,F,33,6,776,14,0.479,0.512,0.326,227,6.2,16.9,11.2,6.2,1.4,3.1,12.4,19,0.9,1,2,0.101,1.6,0.9,2.5,NA,central-florida,2012
5,A.J. Rompza,G,21,20,654,16,0.496,0.604,0.254,175,1.6,8.6,4.9,28.2,4.8,0.3,16.2,14.3,1.1,1,2.1,0.128,1.2,4.1,5.3,NA,central-florida,2012
6,Josh Crittle,C,31,25,548,10.8,0.489,0,0.354,146,8.9,11.2,10,4.9,1.8,1.6,16.8,16.9,0.5,0.6,1.1,0.081,-3.4,0.9,-2.4,NA,central-florida,2012
7,P.J. Gaynor,F,31,3,492,11.2,0.528,0.286,0.48,124,6.2,16.2,10.9,5.8,1,2.2,20.5,16,0.4,0.6,1,0.08,-2.1,0.8,-1.3,NA,central-florida,2012
8,Jeff Jordan,G,13,1,276,6.1,0.42,0.429,0.4,41,0,4.2,2,16.3,2.9,0.4,27.8,10.9,-0.1,0.3,0.2,0.022,-3.9,2.1,-1.7,NA,central-florida,2012
9,Kasey Wilson,F,29,1,216,22.1,0.571,0.353,0.309,80,12.1,24.4,17.9,1.1,1.7,5.1,13.3,21.7,0.5,0.4,0.9,0.168,2.1,0.2,2.3,NA,central-florida,2012
10,Rod Days,F,23,7,197,4.3,0.328,0.675,0.3,32,4,15,9.2,4.8,1.3,0.6,14.9,14.2,-0.2,0.2,0,0.008,-4.9,-0.9,-5.8,NA,central-florida,2012
11,Dwight McCombs,F,15,6,188,11.1,0.498,0,0.517,36,7.9,16.4,11.9,2.1,1.3,7,18.1,12.2,0.1,0.3,0.4,0.079,-4.3,2,-2.3,NA,central-florida,2012
12,Wayne Martin,F,11,0,37,9.4,0.465,0.333,1.667,5,3.1,13.9,8.2,4.9,1.7,5.9,27.1,10.4,0,0,0,0.044,-3.4,-1.3,-4.7,NA,central-florida,2012
13,Bobby Horodyski,G,6,0,7,-9.3,NA,NA,NA,0,0,0,0,0,0,0,100,7.4,0,0,0,-0.151,-3.3,-0.4,-3.7,NA,central-florida,2012
NA,Team Totals,,33,33,6600,NA,0.511,0.333,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,8.5,17.8,0.108,0.7,1,1.7,NA,central-florida,2012
1,Keith Clanton,F,31,31,1096,22.7,0.578,0.179,0.567,460,9.6,19.6,14.5,15.2,1.9,5.8,19.5,23,2.6,1.6,4.2,0.152,2.3,1.4,3.6,NA,central-florida,2013
2,Isaiah Sykes,G,31,31,1079,23.3,0.509,0.126,0.472,539,8.9,17.4,13,29.3,4,1.3,18.3,28.3,2.4,1.7,4.2,0.154,3.3,1.4,4.7,NA,central-florida,2013
3,Tristan Spurlock,F,28,28,919,18.6,0.55,0.458,0.438,315,6.8,14.9,10.7,10.8,1.9,2.5,11.3,18.2,2.3,1,3.3,0.145,3.4,0,3.3,NA,central-florida,2013
4,Calvin Newell,G,25,23,811,13.2,0.506,0.506,0.295,269,2,5.7,3.8,16.4,2.7,0.2,16.7,20.8,1,0.6,1.5,0.076,-0.4,-0.6,-1,NA,central-florida,2013
5,Kasey Wilson,F,31,17,764,17.2,0.603,0.431,0.41,244,6,16.4,11.1,4,1.6,2.5,13.4,18,1.7,0.8,2.5,0.133,1.1,-0.2,0.9,NA,central-florida,2013
6,Daiquan Walker,G,31,18,648,6.2,0.491,0.62,0.107,132,1.6,9.4,5.4,14.1,1.2,0.2,27,13.7,0,0.4,0.4,0.023,-3,-1.3,-4.3,NA,central-florida,2013
7,Matt Williams,G,26,0,405,12.3,0.554,0.857,0.116,111,1.4,8,4.6,6.8,1.5,0.2,8.5,16.3,0.8,0.2,1,0.1,0.1,-0.9,-0.8,NA,central-florida,2013
8,Staphon Blair,F,29,1,210,11,0.626,0,0.417,47,5,8.9,6.9,1.9,0.9,6.7,21.8,13.4,0.2,0.2,0.4,0.074,-4,0.3,-3.7,NA,central-florida,2013
9,Rod Days,F,20,4,176,9.5,0.456,0.739,0.304,27,2.7,14.1,8.2,9,3.8,1.2,21,9.7,0,0.2,0.3,0.065,-2.5,2.4,-0.1,NA,central-florida,2013
10,Dylan Karell,F,20,0,87,14.6,0.733,0,1.125,16,6.7,14.3,10.4,6.6,2.1,2.3,24.6,9.6,0.1,0.1,0.2,0.09,0.1,0.4,0.5,NA,central-florida,2013
11,Bobby Horodyski,G,10,1,19,7.8,0.75,1,0,4,12.4,13.1,12.7,9.4,0,0,50,10.8,0,0,0,0.03,0.5,-2,-1.4,NA,central-florida,2013
12,Tyler Coons,G,7,0,19,11.9,0.75,1,0,4,0,13.1,6.4,28.1,3.2,0,50,10.8,0,0,0,0.067,-2,0.7,-1.3,NA,central-florida,2013
13,Isaac Lang,G,6,0,11,3.9,0.75,0.5,0,3,10.7,0,5.5,0,0,0,50,18.6,0,0,0,-0.066,-14.1,-11.5,-25.7,NA,central-florida,2013
14,Robert King,F,2,0,5,-14.2,0.127,0.333,0.667,1,23.5,24.8,24.1,0,0,0,0,40.4,0,0,0,-0.212,-16,-2.5,-18.5,NA,central-florida,2013
NA,Team Totals,,31,31,6249,NA,0.544,0.363,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,6.9,18,0.115,1,0.2,1.2,NA,central-florida,2013
1,Isaiah Sykes,G,30,29,958,21.6,0.504,0.077,0.475,527,9.9,15.4,12.6,25.5,3.1,0.5,17.7,31.5,1.4,1.2,2.6,0.107,3.8,0.6,4.4,NA,central-florida,2014
2,Tristan Spurlock,F,31,28,883,18.9,0.537,0.504,0.308,322,6.8,14.6,10.6,8.3,2.5,3.7,11.2,19.6,1.8,1.1,2.9,0.132,3.3,1.1,4.4,NA,central-florida,2014
3,Calvin Newell,G,30,29,839,12.9,0.471,0.415,0.367,311,2.7,6.7,4.6,20,3.6,0.2,18.2,22.9,0.4,0.8,1.2,0.059,-1.3,0.6,-0.7,NA,central-florida,2014
4,Kasey Wilson,F,31,22,827,14.9,0.535,0.447,0.359,272,6.4,17.7,11.9,4.2,1.8,1.9,14,19,1.1,1,2.1,0.101,0.2,0.3,0.5,NA,central-florida,2014
5,Matt Williams,G,31,2,608,11.6,0.57,0.924,0.07,166,2.5,11.3,6.8,8.9,1.3,0.3,13.3,15.1,0.9,0.4,1.4,0.09,1.4,-0.4,1,NA,central-florida,2014
6,Staphon Blair,F,31,18,557,14,0.564,0,0.446,148,10.3,10.9,10.6,1,0.4,8.4,17.6,14.4,0.6,0.5,1.1,0.082,-1.8,1,-0.8,NA,central-florida,2014
7,Daiquan Walker,G,30,5,436,9.9,0.476,0.442,0.221,127,1.5,8.9,5.1,20.4,0.9,0.7,18.3,17.1,0.3,0.2,0.5,0.049,-2,-1.2,-3.3,NA,central-florida,2014
8,Brandon Goodwin,G,28,9,412,9.8,0.481,0.286,0.778,103,3.7,10.8,7.1,20.6,1.9,0.2,25.8,13.7,0.2,0.3,0.5,0.048,-2.3,-0.1,-2.5,NA,central-florida,2014
9,Eugene McCrory,F,26,6,371,17.3,0.546,0,0.678,131,12.5,9.9,11.2,4.2,0.8,4,9.9,17.3,0.8,0.3,1.1,0.123,0.6,-0.4,0.2,NA,central-florida,2014
10,Justin McBride,C,15,1,140,21.9,0.655,0,0.684,57,13.1,18.8,15.9,0,0.4,4.3,16.6,21,0.3,0.2,0.5,0.141,1.4,-0.8,0.6,NA,central-florida,2014
11,Dylan Karell,F,17,5,117,6.3,0.389,0,0.6,15,9.2,10.8,10,4.3,1,5.9,31.8,7.8,-0.1,0.1,0.1,0.019,-4.7,0.4,-4.3,NA,central-florida,2014
12,Steven Haney,G,24,0,114,8.8,0.563,0.9,0.2,30,0,7,3.4,4.9,1,0,10.9,15.7,0.2,0.1,0.2,0.076,-2.2,-1.2,-3.5,NA,central-florida,2014
13,Isaac Lang,G,14,1,38,9.1,0.521,0.833,0.083,10,2.8,6,4.4,0,0,0,7.4,17.3,0,0,0,0.053,-8.3,-5.3,-13.6,NA,central-florida,2014
NA,Team Totals,,31,31,6300,NA,0.52,0.351,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.3,14.3,0.091,0.5,0.2,0.7,NA,central-florida,2014
1,Adonys Henriquez,G,30,30,1050,14.2,0.584,0.66,0.224,303,2.4,8.5,5.5,13,1.1,0.6,14.3,16.5,1.9,0.1,2,0.078,2.2,-1.8,0.4,NA,central-florida,2015
2,Brandon Goodwin,G,30,30,1013,14.1,0.503,0.263,0.494,348,4.3,9.1,6.8,26.9,2.3,0.4,22.4,20.9,0.9,0.4,1.3,0.051,-0.3,-1.5,-1.8,NA,central-florida,2015
3,B.J. Taylor,G,26,26,855,15.8,0.497,0.451,0.371,319,1.4,8.9,5.3,17,1.8,0.2,8.7,23.2,1.6,0.2,1.8,0.085,1.4,-1.4,0,NA,central-florida,2015
4,Staphon Blair,F,30,17,746,17.6,0.604,0.006,0.519,216,9.9,14.4,12.2,0.9,0.8,5,14.1,16.3,1.4,0.4,1.8,0.098,0,-1.1,-1.1,NA,central-florida,2015
